SHEET,Original_Ciphertexts
East 4 vs West 4,79,6
East 4 vs West 4,80,33
East 4 vs West 4,81,3
East 4 vs West 4,82,19
East 4 vs West 4,83,24
East 4 vs West 4,84,2
East 4 vs West 4,85,14
East 4 vs West 4,86,27
East 4 vs West 4,87,2
East 4 vs West 4,88,10
East 4 vs West 4,89,4
East 4 vs West 4,90,60
East 4 vs West 4,91,53
East 4 vs West 4,92,56
East 4 vs West 4,93,9
East 4 vs West 4,94,57
East 4 vs West 4,95,25
East 4 vs West 4,96,12
East 4 vs West 4,97,5
East 4 vs West 4,98,19
East 4 vs West 4,99,1
East 4 vs West 4,100,6
East 4 vs West 4,101,41
East 4 vs West 4,102,24
East 4 vs West 4,103,38
East 4 vs West 4,104,21
East 4 vs West 4,105,22
East 4 vs West 4,106,58
East 4 vs West 4,107,71
East 4 vs West 4,108,5
East 4 vs West 4,109,35
East 4 vs West 4,110,56
East 4 vs West 4,111,5
East 4 vs West 4,112,36
East 4 vs West 4,113,45
East 4 vs West 4,114,65
East 4 vs West 4,115,37
East 4 vs West 4,116,23
East 4 vs West 4,117,13
East 4 vs West 4,118,58
East 4 vs West 4,119,21

SHEET,Row_Differences
Message,Position,Diff
East 1,1,16
East 1,2,61
East 1,3,43
East 1,4,14
East 1,5,49
East 1,6,62
East 1,7,46
East 1,8,5
East 1,9,37
East 1,10,19
East 1,11,28
East 1,12,4
East 1,13,4
East 1,14,30
East 1,15,18
East 1,16,67
East 1,17,73
East 1,18,7
East 1,19,63
East 1,20,76
East 1,21,27
East 1,22,16
East 1,23,36
East 1,24,48
East 1,25,79
East 1,26,2
East 1,27,42
East 1,28,23
East 1,29,18
East 1,30,60
East 1,31,2
East 1,32,19
East 1,33,40
East 1,34,11
East 1,35,14
East 1,36,39
East 1,37,12
East 1,38,7
East 1,39,49
East 1,40,23
East 1,41,3
East 1,42,4
East 1,43,6
East 1,44,23
East 1,45,29
East 1,46,35
East 1,47,34
East 1,48,28
East 1,49,30
East 1,50,23
East 1,51,41
East 1,52,26
East 1,53,19
East 1,54,21
East 1,55,40
East 1,56,16
East 1,57,8
East 1,58,34
East 1,59,16
East 1,60,8
East 1,61,19
East 1,62,39
East 1,63,5
East 1,64,4
East 1,65,25
East 1,66,20
East 1,67,5
East 1,68,51
East 1,69,60
East 1,70,63
East 1,71,18
East 1,72,52
East 1,73,70
East 1,74,55
East 1,75,52
East 1,76,67
East 1,77,47
East 1,78,10
East 1,79,2
East 1,80,37
East 1,81,8
East 1,82,18
East 1,83,9
East 1,84,16
East 1,85,2
East 1,86,66
East 1,87,1
East 1,88,28
East 1,89,13
East 1,90,1
East 1,91,18
East 1,92,21
East 1,93,24
East 1,94,29
East 1,95,15
East 1,96,51
East 1,97,21
East 1,98,5
East 1,99,0
West 1,1,14
West 1,2,61
West 1,3,43
West 1,4,14
West 1,5,49
West 1,6,62
West 1,7,46
West 1,8,5
West 1,9,37
West 1,10,19
West 1,11,28
West 1,12,4
West 1,13,4
West 1,14,30
West 1,15,18
West 1,16,67
West 1,17,73
West 1,18,7
West 1,19,63
West 1,20,76
West 1,21,27
West 1,22,16
West 1,23,36
West 1,24,48
West 1,25,28
West 1,26,18
West 1,27,19
West 1,28,22
West 1,29,29
West 1,30,60
West 1,31,2
West 1,32,19
West 1,33,25
West 1,34,1
West 1,35,28
West 1,36,34
West 1,37,6
West 1,38,7
West 1,39,49
West 1,40,23
West 1,41,3
West 1,42,4
West 1,43,6
West 1,44,23
West 1,45,29
West 1,46,35
West 1,47,34
West 1,48,28
West 1,49,30
West 1,50,5
West 1,51,18
West 1,52,33
West 1,53,18
West 1,54,13
West 1,55,21
West 1,56,36
West 1,57,51
West 1,58,44
West 1,59,8
West 1,60,63
West 1,61,29
West 1,62,43
West 1,63,50
West 1,64,44
West 1,65,61
West 1,66,27
West 1,67,8
West 1,68,39
West 1,69,17
West 1,70,13
West 1,71,22
West 1,72,29
West 1,73,19
West 1,74,23
West 1,75,4
West 1,76,4
West 1,77,47
West 1,78,55
West 1,79,4
West 1,80,37
West 1,81,21
West 1,82,10
West 1,83,23
West 1,84,28
West 1,85,20
West 1,86,67
West 1,87,5
West 1,88,63
West 1,89,11
West 1,90,60
West 1,91,9
West 1,92,54
West 1,93,7
West 1,94,35
West 1,95,7
West 1,96,34
West 1,97,33
West 1,98,25
West 1,99,6
West 1,100,53
West 1,101,25
West 1,102,16
West 1,103,0
East 2,1,30
East 2,2,61
East 2,3,43
East 2,4,14
East 2,5,49
East 2,6,62
East 2,7,46
East 2,8,5
East 2,9,37
East 2,10,19
East 2,11,28
East 2,12,4
East 2,13,4
East 2,14,30
East 2,15,18
East 2,16,67
East 2,17,73
East 2,18,7
East 2,19,63
East 2,20,76
East 2,21,27
East 2,22,16
East 2,23,36
East 2,24,48
East 2,25,68
East 2,26,7
East 2,27,24
East 2,28,43
East 2,29,39
East 2,30,18
East 2,31,14
East 2,32,58
East 2,33,42
East 2,34,7
East 2,35,17
East 2,36,9
East 2,37,29
East 2,38,75
East 2,39,13
East 2,40,40
East 2,41,37
East 2,42,28
East 2,43,7
East 2,44,40
East 2,45,74
East 2,46,7
East 2,47,51
East 2,48,35
East 2,49,20
East 2,50,15
East 2,51,1
East 2,52,57
East 2,53,43
East 2,54,18
East 2,55,18
East 2,56,3
East 2,57,6
East 2,58,35
East 2,59,21
East 2,60,2
East 2,61,51
East 2,62,67
East 2,63,50
East 2,64,21
East 2,65,20
East 2,66,27
East 2,67,20
East 2,68,16
East 2,69,49
East 2,70,6
East 2,71,11
East 2,72,62
East 2,73,11
East 2,74,35
East 2,75,5
East 2,76,7
East 2,77,8
East 2,78,22
East 2,79,11
East 2,80,30
East 2,81,31
East 2,82,15
East 2,83,37
East 2,84,3
East 2,85,34
East 2,86,8
East 2,87,24
East 2,88,18
East 2,89,5
East 2,90,54
East 2,91,30
East 2,92,37
East 2,93,2
East 2,94,23
East 2,95,52
East 2,96,70
East 2,97,3
East 2,98,49
East 2,99,9
East 2,100,32
East 2,101,52
East 2,102,39
East 2,103,3
East 2,104,45
East 2,105,28
East 2,106,10
East 2,107,3
East 2,108,31
East 2,109,43
East 2,110,38
East 2,111,14
East 2,112,15
East 2,113,19
East 2,114,8
East 2,115,7
East 2,116,22
East 2,117,4
East 2,118,0
West 2,1,10
West 2,2,61
West 2,3,44
West 2,4,26
West 2,5,21
West 2,6,15
West 2,7,23
West 2,8,14
West 2,9,31
West 2,10,41
West 2,11,18
West 2,12,34
West 2,13,22
West 2,14,2
West 2,15,30
West 2,16,48
West 2,17,8
West 2,18,31
West 2,19,6
West 2,20,14
West 2,21,35
West 2,22,9
West 2,23,9
West 2,24,37
West 2,25,5
West 2,26,20
West 2,27,9
West 2,28,11
West 2,29,21
West 2,30,41
West 2,31,1
West 2,32,35
West 2,33,11
West 2,34,1
West 2,35,54
West 2,36,49
West 2,37,69
West 2,38,73
West 2,39,35
West 2,40,15
West 2,41,31
West 2,42,7
West 2,43,29
West 2,44,40
West 2,45,38
West 2,46,75
West 2,47,38
West 2,48,28
West 2,49,68
West 2,50,77
West 2,51,3
West 2,52,30
West 2,53,31
West 2,54,44
West 2,55,9
West 2,56,37
West 2,57,44
West 2,58,8
West 2,59,39
West 2,60,13
West 2,61,2
West 2,62,12
West 2,63,29
West 2,64,70
West 2,65,55
West 2,66,4
West 2,67,49
West 2,68,34
West 2,69,30
West 2,70,35
West 2,71,18
West 2,72,44
West 2,73,3
West 2,74,9
West 2,75,1
West 2,76,33
West 2,77,41
West 2,78,12
West 2,79,3
West 2,80,18
West 2,81,44
West 2,82,5
West 2,83,24
West 2,84,17
West 2,85,29
West 2,86,10
West 2,87,4
West 2,88,17
West 2,89,50
West 2,90,11
West 2,91,3
West 2,92,12
West 2,93,63
West 2,94,10
West 2,95,38
West 2,96,18
West 2,97,49
West 2,98,39
West 2,99,10
West 2,100,3
West 2,101,44
West 2,102,0
East 3,1,3
East 3,2,61
East 3,3,44
East 3,4,26
East 3,5,21
East 3,6,52
East 3,7,58
East 3,8,31
East 3,9,11
East 3,10,38
East 3,11,31
East 3,12,13
East 3,13,15
East 3,14,8
East 3,15,4
East 3,16,11
East 3,17,58
East 3,18,63
East 3,19,58
East 3,20,40
East 3,21,33
East 3,22,31
East 3,23,29
East 3,24,15
East 3,25,18
East 3,26,39
East 3,27,67
East 3,28,47
East 3,29,47
East 3,30,68
East 3,31,59
East 3,32,13
East 3,33,15
East 3,34,10
East 3,35,1
East 3,36,37
East 3,37,57
East 3,38,11
East 3,39,17
East 3,40,45
East 3,41,74
East 3,42,78
East 3,43,5
East 3,44,74
East 3,45,55
East 3,46,11
East 3,47,56
East 3,48,10
East 3,49,13
East 3,50,32
East 3,51,25
East 3,52,20
East 3,53,30
East 3,54,20
East 3,55,16
East 3,56,21
East 3,57,18
East 3,58,29
East 3,59,10
East 3,60,19
East 3,61,35
East 3,62,55
East 3,63,4
East 3,64,52
East 3,65,49
East 3,66,61
East 3,67,69
East 3,68,57
East 3,69,2
East 3,70,7
East 3,71,5
East 3,72,43
East 3,73,54
East 3,74,72
East 3,75,13
East 3,76,1
East 3,77,45
East 3,78,62
East 3,79,64
East 3,80,7
East 3,81,43
East 3,82,41
East 3,83,55
East 3,84,4
East 3,85,18
East 3,86,35
East 3,87,28
East 3,88,17
East 3,89,7
East 3,90,9
East 3,91,41
East 3,92,45
East 3,93,28
East 3,94,18
East 3,95,5
East 3,96,18
East 3,97,40
East 3,98,1
East 3,99,60
East 3,100,56
East 3,101,42
East 3,102,11
East 3,103,30
East 3,104,13
East 3,105,2
East 3,106,11
East 3,107,12
East 3,108,31
East 3,109,43
East 3,110,16
East 3,111,62
East 3,112,63
East 3,113,5
East 3,114,54
East 3,115,28
East 3,116,39
East 3,117,54
East 3,118,2
East 3,119,25
East 3,120,17
East 3,121,50
East 3,122,6
East 3,123,40
East 3,124,26
East 3,125,34
East 3,126,9
East 3,127,68
East 3,128,1
East 3,129,46
East 3,130,26
East 3,131,51
East 3,132,2
East 3,133,48
East 3,134,10
East 3,135,27
East 3,136,16
East 3,137,0
West 3,1,32
West 3,2,61
West 3,3,44
West 3,4,26
West 3,5,21
West 3,6,31
West 3,7,51
West 3,8,63
West 3,9,2
West 3,10,15
West 3,11,2
West 3,12,7
West 3,13,29
West 3,14,19
West 3,15,10
West 3,16,20
West 3,17,23
West 3,18,26
West 3,19,6
West 3,20,46
West 3,21,64
West 3,22,7
West 3,23,15
West 3,24,21
West 3,25,7
West 3,26,1
West 3,27,24
West 3,28,24
West 3,29,62
West 3,30,39
West 3,31,38
West 3,32,58
West 3,33,53
West 3,34,37
West 3,35,3
West 3,36,17
West 3,37,19
West 3,38,25
West 3,39,18
West 3,40,54
West 3,41,39
West 3,42,4
West 3,43,30
West 3,44,50
West 3,45,12
West 3,46,58
West 3,47,11
West 3,48,12
West 3,49,28
West 3,50,14
West 3,51,7
West 3,52,11
West 3,53,2
West 3,54,13
West 3,55,27
West 3,56,11
West 3,57,23
West 3,58,17
West 3,59,41
West 3,60,59
West 3,61,1
West 3,62,62
West 3,63,2
West 3,64,40
West 3,65,3
West 3,66,25
West 3,67,21
West 3,68,8
West 3,69,4
West 3,70,28
West 3,71,2
West 3,72,20
West 3,73,3
West 3,74,5
West 3,75,27
West 3,76,25
West 3,77,37
West 3,78,37
West 3,79,32
West 3,80,33
West 3,81,17
West 3,82,18
West 3,83,24
West 3,84,27
West 3,85,15
West 3,86,16
West 3,87,12
West 3,88,10
West 3,89,53
West 3,90,59
West 3,91,74
West 3,92,37
West 3,93,26
West 3,94,57
West 3,95,60
West 3,96,60
West 3,97,37
West 3,98,45
West 3,99,64
West 3,100,6
West 3,101,21
West 3,102,18
West 3,103,8
West 3,104,21
West 3,105,15
West 3,106,11
West 3,107,22
West 3,108,28
West 3,109,9
West 3,110,64
West 3,111,17
West 3,112,2
West 3,113,2
West 3,114,36
West 3,115,56
West 3,116,37
West 3,117,39
West 3,118,1
West 3,119,20
West 3,120,30
West 3,121,6
West 3,122,24
West 3,123,16
West 3,124,0
East 4,1,39
East 4,2,61
East 4,3,44
East 4,4,26
East 4,5,21
East 4,6,52
East 4,7,58
East 4,8,31
East 4,9,11
East 4,10,38
East 4,11,53
East 4,12,46
East 4,13,6
East 4,14,44
East 4,15,41
East 4,16,50
East 4,17,65
East 4,18,33
East 4,19,31
East 4,20,42
East 4,21,30
East 4,22,33
East 4,23,6
East 4,24,37
East 4,25,17
East 4,26,10
East 4,27,48
East 4,28,72
East 4,29,30
East 4,30,26
East 4,31,3
East 4,32,5
East 4,33,22
East 4,34,63
East 4,35,37
East 4,36,25
East 4,37,4
East 4,38,27
East 4,39,6
East 4,40,1
East 4,41,36
East 4,42,43
East 4,43,2
East 4,44,50
East 4,45,33
East 4,46,4
East 4,47,19
East 4,48,5
East 4,49,70
East 4,50,6
East 4,51,36
East 4,52,2
East 4,53,13
East 4,54,10
East 4,55,1
East 4,56,10
East 4,57,54
East 4,58,13
East 4,59,7
East 4,60,28
East 4,61,26
East 4,62,21
East 4,63,18
East 4,64,16
East 4,65,11
East 4,66,33
East 4,67,52
East 4,68,53
East 4,69,22
East 4,70,53
East 4,71,52
East 4,72,34
East 4,73,38
East 4,74,42
East 4,75,57
East 4,76,32
East 4,77,17
East 4,78,1
East 4,79,8
East 4,80,4
East 4,81,21
East 4,82,7
East 4,83,16
East 4,84,7
East 4,85,25
East 4,86,14
East 4,87,2
East 4,88,70
East 4,89,4
East 4,90,23
East 4,91,36
East 4,92,31
East 4,93,47
East 4,94,52
East 4,95,31
East 4,96,12
East 4,97,29
East 4,98,36
East 4,99,19
East 4,100,3
East 4,101,13
East 4,102,54
East 4,103,25
East 4,104,4
East 4,105,34
East 4,106,61
East 4,107,28
East 4,108,26
East 4,109,5
East 4,110,35
East 4,111,19
East 4,112,74
East 4,113,14
East 4,114,2
East 4,115,9
East 4,116,18
East 4,117,19
East 4,118,59
East 4,119,0
West 4,1,11
West 4,2,61
West 4,3,44
West 4,4,26
West 4,5,21
West 4,6,52
West 4,7,58
West 4,8,31
West 4,9,11
West 4,10,38
West 4,11,53
West 4,12,46
West 4,13,6
West 4,14,44
West 4,15,41
West 4,16,50
West 4,17,65
West 4,18,33
West 4,19,31
West 4,20,42
West 4,21,13
West 4,22,39
West 4,23,59
West 4,24,79
West 4,25,71
West 4,26,17
West 4,27,39
West 4,28,66
West 4,29,47
West 4,30,22
West 4,31,38
West 4,32,18
West 4,33,65
West 4,34,48
West 4,35,9
West 4,36,12
West 4,37,22
West 4,38,57
West 4,39,7
West 4,40,42
West 4,41,25
West 4,42,64
West 4,43,78
West 4,44,25
West 4,45,40
West 4,46,22
West 4,47,23
West 4,48,2
West 4,49,26
West 4,50,43
West 4,51,58
West 4,52,1
West 4,53,26
West 4,54,7
West 4,55,27
West 4,56,41
West 4,57,4
West 4,58,49
West 4,59,42
West 4,60,14
West 4,61,3
West 4,62,1
West 4,63,6
West 4,64,21
West 4,65,2
West 4,66,59
West 4,67,7
West 4,68,13
West 4,69,24
West 4,70,6
West 4,71,37
West 4,72,58
West 4,73,32
West 4,74,18
West 4,75,24
West 4,76,23
West 4,77,19
West 4,78,6
West 4,79,19
West 4,80,32
West 4,81,43
West 4,82,50
West 4,83,42
West 4,84,23
West 4,85,16
West 4,86,39
West 4,87,10
West 4,88,56
West 4,89,52
West 4,90,16
West 4,91,73
West 4,92,16
West 4,93,1
West 4,94,30
West 4,95,18
West 4,96,5
West 4,97,53
West 4,98,16
West 4,99,12
West 4,100,50
West 4,101,30
West 4,102,8
West 4,103,8
West 4,104,39
West 4,105,46
West 4,106,68
West 4,107,38
West 4,108,14
West 4,109,26
West 4,110,16
West 4,111,22
West 4,112,7
West 4,113,34
West 4,114,30
West 4,115,23
West 4,116,8
West 4,117,26
West 4,118,20
West 4,119,10
West 4,120,0
East 5,1,33
East 5,2,61
East 5,3,44
East 5,4,26
East 5,5,21
East 5,6,52
East 5,7,58
East 5,8,31
East 5,9,11
East 5,10,38
East 5,11,53
East 5,12,46
East 5,13,6
East 5,14,44
East 5,15,41
East 5,16,50
East 5,17,65
East 5,18,33
East 5,19,31
East 5,20,42
East 5,21,14
East 5,22,12
East 5,23,38
East 5,24,15
East 5,25,26
East 5,26,10
East 5,27,48
East 5,28,17
East 5,29,25
East 5,30,26
East 5,31,3
East 5,32,16
East 5,33,52
East 5,34,15
East 5,35,42
East 5,36,49
East 5,37,44
East 5,38,1
East 5,39,6
East 5,40,1
East 5,41,3
East 5,42,10
East 5,43,10
East 5,44,3
East 5,45,59
East 5,46,47
East 5,47,35
East 5,48,36
East 5,49,10
East 5,50,19
East 5,51,14
East 5,52,46
East 5,53,27
East 5,54,2
East 5,55,2
East 5,56,1
East 5,57,12
East 5,58,7
East 5,59,18
East 5,60,26
East 5,61,12
East 5,62,39
East 5,63,23
East 5,64,41
East 5,65,16
East 5,66,21
East 5,67,41
East 5,68,21
East 5,69,45
East 5,70,3
East 5,71,54
East 5,72,55
East 5,73,18
East 5,74,2
East 5,75,20
East 5,76,3
East 5,77,38
East 5,78,55
East 5,79,13
East 5,80,10
East 5,81,54
East 5,82,56
East 5,83,31
East 5,84,11
East 5,85,41
East 5,86,19
East 5,87,31
East 5,88,32
East 5,89,31
East 5,90,34
East 5,91,29
East 5,92,65
East 5,93,25
East 5,94,37
East 5,95,3
East 5,96,67
East 5,97,25
East 5,98,10
East 5,99,51
East 5,100,67
East 5,101,35
East 5,102,21
East 5,103,10
East 5,104,9
East 5,105,24
East 5,106,2
East 5,107,10
East 5,108,13
East 5,109,36
East 5,110,38
East 5,111,21
East 5,112,18
East 5,113,17
East 5,114,0
